index,txkey,locdt,loctm,chid,cano,contp,etymd,mchno,acqic,mcc,conam,ecfg,insfg,iterm,bnsfg,flam1,stocn,scity,stscd,ovrlt,flbmk,hcefg,csmcu,csmam,flg_3dsmk,label
0,7d06d43ab29126e36275a436c832f4d15a1068b8d776fc5f4db83faccaf9e91f,48,145754,f5af026e3d89b440eeccf60ffa21e8fab9e2fdc880180616d8983a8297a322d9,,5,,b750b40fea3e5e43b652787201345c6e48152c6806f98d59ac8844e188318fda,2a608b081c09492bd2bc96d7def5371c4bc9cabf324a987defa5a213904a6c25,315,,0,0,0,0,,0,11503,,,0,6,70,509.0851389,0,0
1,68dc55fb053b47c06dd29fd01781a6224622478367b8d103dcb1d9ddbc43e4f7,11,150204,f23d2d1b2f1e296c31e0df919a55e0e89d7ebd6388fb9c76be52fccf00812c05,1bcf0ba278157b49745d4567b0ba96be4c870a76879b50a74ad6b60cee74bb9f,5,4,03893a476a17b5cfcc9d0b841b88deadd3d782d9ea2d48ccd8a8d1badca417f0,,288,885.0325773,0,,0,0,650.5970726,,11433,,0,,6,70,,,0
2,279263fc8865e14609db2f519ddd052283ed85a1fdb1dcc1afa2a4962f454116,10,83313,,,,1,1397eebe3f206e4570047bd35ad0a4ae5876bcee3d877761154a774fc04179aa,bfbb5ca8870e18f9ce4ebf53a3908f71261c8221b857349aa8f32d79f1d8dda9,275,2655.392443,,,0,0,2598.180349,,15759,,0,0,6,70,2580.08641,0,0
3,d8f400df061e8d4ff40453d517dc4036f1eb7f28fe89eed81da8f17696d65127,52,123220,d6f9cfbb5409f3d2ff9289281cea9b6bd973c0e12135b71046f182b2b6cdfaac,,,8,d73d0446c13d150b8117a0bbd486f01abe15ef18e88ff3feb3a2aa7f9028fe28,379166ff4a62dac343b4b734188aa618716cc496e48b6537868841c420f7212f,282,258.1841197,1,0,0,0,229.3376055,0,,,0,0,6,70,152.0440525,0,0
4,489331e11fe3daae734c28160d5f39638441998723a8b6493c55450360a0029b,16,142340,2ad812e6a58c600ebb96192baaced1633517cf37e881ed39f98cddf6b80f0eef,049a1d8d173204f285efe1ef19b2bbcb090b2b777e29e18f38909633e12bddba,5,5,f04f4d0556d851333cb69e2995ad673f11a7f3acd787e19f65713208eb3c23ae,379166ff4a62dac343b4b734188aa618716cc496e48b6537868841c420f7212f,275,1814.443193,,1,3,0,1885.858113,0,15759,,0,0,6,70,1793.200087,0,0
5,a47a27fec422e30597c70897b32fbfad4d5c5a123f6b693b3fcc22cee82f2752,37,162123,,d15f914f7e1f4d23e0bea7c8dcb8ca73054a9232d868db059cc4b43d74e3c4db,5,,4634d294725125a33fa751921fc22c4b692b2e4884cd01a317e1d1ae507f674b,379166ff4a62dac343b4b734188aa618716cc496e48b6537868841c420f7212f,276,60.1649947,1,,0,,111.9174815,0,15759,,,0,6,70,104.4871765,0,0
6,f35fad9fcd72fd67ca511664557f23727ff6191ba8708d4dd0813f9652be1d0f,4,120421,ca30de426487915cb31fb090feae60ef2666adef4d8a8cd4ab33b36807213d87,2d163a6e809f8dab5e0575840beecbe666d5d7c878375c6c0b7f18c4c1bc2b99,5,1,489e5caa6e2b65e6cbf57159c18b10b5cfb0d8e28bb3e393384e98d7ca05e000,bfbb5ca8870e18f9ce4ebf53a3908f71261c8221b857349aa8f32d79f1d8dda9,378,-82.77327184,1,0,0,0,109.1480353,0,15759,,0,0,6,70,155.0346437,0,0
7,881fbbe6b626d2fedb391442a27f5828bfd97d82a1e6818773d7dd77e0136a8e,,131038,67f79c6c4f94b45b7a9ab49671a2ef2bbf576ffe1f96506da1cf22eab3e8e00d,2dbc484fc7fbacbdd1ec6c99853b731b2fd4520836837efdaae489893a104104,5,4,4da75ef2e01774ae92e598a0ad20e56a034613cac83663940a89a7e8ef3abbde,2a608b081c09492bd2bc96d7def5371c4bc9cabf324a987defa5a213904a6c25,,37995.48647,0,0,0,0,37884.49038,0,,,0,0,6,70,37966.98969,0,0
8,6c1af30e0adb7a01216ee1a1113d88260546c471563f1b0de091a28f75139d64,45,152448,,1c87718657464ba76f3eb9dbb98de9c5b0d65b205805d36564a6b6131b2b8412,5,4,95fe03503c2ec57c4f9f4a0a78ac7c9bd335cb1f6d4400a6151f286c1b0a19a2,379166ff4a62dac343b4b734188aa618716cc496e48b6537868841c420f7212f,320,485.0308019,,0,0,0,,0,15742,,1,0,,70,489.1443027,,0
9,a186642c3847e09474db9761fc172cd27cdb54b6f95490e863827126886de29b,,142027,,d6a9310cdf60aac3d48dd2704aa5afa272f29c6ca16c640ba3133de9d8f4f1c8,5,,48675480a5edda3511920982ec3ae71f242231c2a3badbb7ddbcdeab4d682d7b,46f63555d29f177290dfe20e989146fb033e453f1d5ff3f27a7fd3741fb17484,,1309.123458,1,0,,,1131.806705,0,16115,,0,0,0,70,1139.805801,1,0
